tweet_id,favorites,retweets,followers_count
826598365270007810,10722,2565,7413792
826476773533745153,19610,4581,7414391
826240494070030336,14124,2826,7413792
826204788643753985,5195,1018,7413792
826115272272650244,16699,3428,7413792
825876512159186944,11144,2043,7413792
825829644528148480,13572,2723,7413792
825535076884762624,55455,18821,7413792
825147591692263424,19502,5006,7413792
825120256414846976,0,1408,7413792
825026590719483904,6763,1408,7413792
824796380199809024,0,6013,7413792
824775126675836928,15941,3859,7413792
824663926340194305,10734,1900,7413792
824325613288833024,12554,11368,7413792
824297048279236611,16046,4232,7413792
824025158776213504,5089,645,7413792
823939628516474880,11362,2971,7413792
823719002937630720,0,12306,7413792
823699002998870016,13421,2653,7413792
823581115634085888,13902,2896,7413792
823333489516937216,746,29,7413792
823322678127919110,16794,4402,7413792
823269594223824897,0,10811,7413792
822975315408461824,18456,3769,7413792
822872901745569793,141329,48119,7413792
822859134160621569,14104,2499,7413792
822647212903690241,0,7048,7413792
822610361945911296,15766,3248,7413792
822489057087389700,19375,7048,7413792
822462944365645825,30440,16101,7413792
822244816520155136,37425,10811,7413792
822163064745328640,0,5275,7413792
821886076407029760,12140,2570,7413792
821813639212650496,0,3664,7413792
821765923262631936,9007,1826,7413792
821522889702862852,8576,1940,7413792
821421320206483457,0,6150,7413792
821407182352777218,12590,4783,7413792
821153421864615936,273,10,7413792
821149554670182400,9330,2210,7413792
821107785811234820,10253,2338,7413792
821044531881721856,13541,2514,7413792
820837357901512704,0,7352,7413792
820749716845686786,33736,10905,7413792
820690176645140481,13048,3545,7413792
820494788566847489,0,624,7413792
820446719150292993,0,2840,7413792
820314633777061888,3568,624,7413792
820078625395449857,21194,6903,7413792
820013781606658049,0,1303,7413792
819952236453363712,5694,1303,7413792
819924195358416896,13763,5323,7413792
819711362133872643,14417,3451,7413792
819588359383371776,10228,2162,7413792
819347104292290561,7731,1327,7413792
819238181065359361,2442,446,7413793
819227688460238848,24724,7352,7413793
819015337530290176,0,40315,7413793
819015331746349057,0,20782,7413793
819006400881917954,48321,20782,7413793
819004803107983360,92472,40315,7413793
818646164899774465,0,22965,7413793
818627210458333184,23769,8194,7413793
818614493328580609,10563,2840,7413793
818588835076603904,0,6759,7413793
818536468981415936,11688,2729,7413793
818307523543449600,0,8952,7413793
818259473185828864,11817,2520,7413793
818145370475810820,13163,2864,7413793
817908911860748288,5187,866,7413793
817827839487737858,55583,29879,7413793
817777686764523521,11462,2942,7413793
817536400337801217,12646,3343,7413793
817502432452313088,0,3732,7413793
817423860136083457,36694,16485,7413793
817415592588222464,6020,1061,7413793
817181837579653120,0,9373,7413793
817171292965273600,9354,2213,7413793
817120970343411712,13049,2887,7413793
817056546584727552,9195,1820,7413793
816829038950027264,0,5198,7413793
816816676327063552,10718,2241,7413793
816697700272001025,10515,2434,7413793
816450570814898180,32804,8952,7413793
816336735214911488,9224,2154,7413793
816091915477250048,9577,2374,7413793
816062466425819140,0,1148,7413793
816014286006976512,0,5861,7413793
815990720817401858,5361,1148,7413793
815966073409433600,24079,9373,7413793
815745968457060357,0,4558,7413793
815736392542261248,10559,2504,7413793
815639385530101762,8818,1814,7413793
815390420867969024,11102,4198,7413793
814986499976527872,8199,1426,7413793
814638523311648768,12107,2989,7413793
814578408554463233,0,6405,7413793
814530161257443328,9304,2046,7413793
814153002265309185,30890,9588,7413793
813944609378369540,0,3533,7413793
813910438903693312,9976,2078,7413793
813812741911748608,39025,15453,7413793
